Rodada,HC,LRS,GRS
1,4.135741,5.387888,6.034778
2,2.225038,4.681611,5.794360
3,5.448372,4.264375,5.548400
4,6.199219,4.174643,5.710472
5,4.990969,4.217612,5.545032
6,5.790730,5.724909,5.938809
7,5.678884,5.254082,6.060427
8,5.319407,4.042424,5.690616
9,5.717584,4.033693,5.479195
10,4.977208,4.949002,6.000277
11,4.088636,5.215681,5.332232
12,5.957741,4.193882,5.993914
13,5.150051,4.058618,5.756775
14,6.235030,4.236947,5.626150
15,4.227328,4.207741,5.462601
16,5.676196,5.837809,6.106101
17,4.045180,5.251508,5.591464
18,5.231250,3.810383,5.716319
19,4.039593,4.097861,5.296805
20,3.846795,3.628874,5.572695
21,5.541713,4.199646,5.854572
22,5.180766,4.099609,5.644408
23,5.054853,2.656387,5.636248
24,4.215753,4.517269,5.650830
25,5.950050,4.246372,6.121755
26,4.059049,3.747569,5.712021
27,5.459621,2.152843,5.935833
28,3.511694,6.135346,5.738146
29,5.904949,4.255017,5.017269
30,5.447529,4.209609,5.917253
31,4.098890,4.079872,6.096670
32,5.645467,3.707147,5.667276
33,4.194254,4.052818,5.681221
34,5.615085,3.935369,5.802767
35,5.103806,4.216541,5.675632
36,5.479648,6.198022,5.945812
37,5.150972,2.197642,6.202529
38,5.604503,5.561105,5.329154
39,5.999528,4.120081,5.690948
40,5.042978,6.216522,5.948072
41,4.061335,3.703314,5.871408
42,5.946565,4.745795,5.711262
43,5.766499,5.708989,5.460676
44,3.927221,3.761189,6.237567
45,4.513051,3.938101,5.839274
46,5.319049,3.756972,5.847876
47,6.241170,3.761412,5.678836
48,2.238873,5.981926,5.865625
49,5.158002,2.146751,6.151810
50,3.731893,1.853867,6.193692
51,5.240100,4.117020,5.772295
52,5.512694,5.633354,5.671639
53,3.848675,4.186507,5.739558
54,5.650555,4.483759,6.102182
55,5.698675,4.240787,5.509187
56,4.355024,6.088095,5.723686
57,4.133009,4.107154,6.171593
58,5.921697,4.166097,5.726072
59,3.818586,6.114864,6.115251
60,3.714034,3.711224,5.335758
61,5.649872,4.095201,5.343473
62,5.356983,5.665189,5.381330
63,3.709456,4.058069,5.751514
64,5.893104,4.168881,5.333143
65,5.941183,4.074440,5.927017
66,5.518726,5.825573,5.614270
67,4.182151,5.783999,5.701734
68,5.391112,5.063020,5.627928
69,6.115830,5.144288,5.716842
70,4.685007,5.041277,5.727841
71,5.422410,4.727440,5.504223
72,5.096589,3.682570,6.142282
73,4.661859,3.891588,6.143580
74,4.605466,5.700627,5.449150
75,5.795468,4.524960,5.745728
76,5.857680,5.950164,5.670840
77,6.129897,4.229125,6.137872
78,5.120497,6.178562,6.099231
79,4.448738,4.054020,5.694527
80,5.180843,2.675580,5.929790
81,5.914957,4.562526,5.355766
82,5.087371,6.171244,6.054923
83,5.954361,4.093485,5.899038
84,4.238968,5.739232,5.264853
85,4.822719,5.223438,5.730790
86,5.448833,4.106793,5.158124
87,4.743042,5.651922,5.005266
88,5.192970,4.231770,5.554728
89,4.214768,4.977161,5.624071
90,5.121532,5.819206,5.890193
91,5.747688,6.053780,5.727937
92,6.086145,6.062941,5.967079
93,5.342087,3.884115,5.582337
94,5.874128,4.426917,5.913397
95,4.182604,4.110603,5.532430
96,5.759941,4.246580,5.676313
97,5.957796,4.466848,5.182050
98,5.146809,3.522585,5.996732
99,4.164190,3.914537,5.352723
100,5.588092,5.031351,5.611796
