Funcao,Modo,Algoritmo,Otimo,Media,Desvio,Minimo,Maximo,Moda,Moda_Contagem,Taxa_Convergencia
F1,Min,HC,0.000000,0.00830,0.00894,0.00003,0.04725,0.00240,15,0.650
F1,Min,LRS,0.000000,0.00172,0.00203,0.00003,0.01076,0.00013,17,0.990
F1,Min,GRS,0.000000,10.45503,9.22080,0.12858,50.64661,0.63376,9,0.000
F2,Max,HC,2.003117,1.73449,0.42741,0.97731,2.00276,1.99250,43,0.340
F2,Max,LRS,2.003117,1.66328,0.47190,1.00173,2.00311,1.99310,66,0.660
F2,Max,GRS,2.003117,1.97961,0.02011,1.88392,2.00279,2.00161,11,0.290
F3,Min,HC,0.000000,0.80905,1.60704,0.01529,15.96207,0.17476,35,0.050
F3,Min,LRS,0.000000,0.53743,1.88068,0.01587,13.97895,0.15550,68,0.220
F3,Min,GRS,0.000000,1.67550,0.79987,0.13081,3.26844,1.10348,7,0.000
F4,Min,HC,0.000000,2.13769,3.18574,0.01480,28.47575,1.43785,23,0.200
F4,Min,LRS,0.000000,2.17471,1.79296,0.04895,7.01219,1.09344,10,0.130
F4,Min,GRS,0.000000,1.87731,0.92002,0.12267,4.15094,2.09652,9,0.060
F5,Max,HC,2.000450,1.43698,0.00003,1.43685,1.43702,1.43700,16,0.000
F5,Max,LRS,2.000450,1.05482,0.46033,0.53128,1.99596,0.98533,43,0.100
F5,Max,GRS,2.000450,1.79190,0.15508,1.40362,1.99974,1.91032,6,0.190
F6,Max,HC,6.252410,5.05391,0.83872,2.22504,6.24117,5.15681,9,0.030
F6,Max,LRS,6.252410,4.52813,0.97129,1.85387,6.21652,4.07882,16,0.040
F6,Max,GRS,6.252410,5.72974,0.27257,5.00527,6.23757,5.68303,9,0.040
