rodada,custo_final,tempo_segundos
1,2671.81,70.2
2,2907.68,84.9
3,2508.42,83.0
4,2484.69,61.6
5,2584.66,93.7
6,2916.16,86.6
7,2822.80,102.6
8,2515.51,89.0
9,2568.83,94.9
10,2978.50,104.6
11,2966.49,95.3
12,2689.76,103.2
13,2957.55,87.9
14,3272.64,51.5
15,3011.65,90.2
16,2766.48,91.7
17,2647.30,96.4
18,2470.58,103.0
19,3361.45,94.7
20,3038.61,86.1
21,2643.25,84.3
22,2911.63,89.6
23,2738.80,91.0
24,2929.81,96.3
25,2643.04,87.3
26,2535.23,84.8
27,2602.09,86.6
28,3165.19,86.7
29,2607.00,88.5
30,3618.04,90.4
